"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","new_georeferenced_column","zipcode"
"526",228162837,"May",13,2021,23:30:00,"MANHATTAN",6,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",984433,206172,40.7325794010001,-73.999341144,"POINT (-73.99934114399997 40.73257940100007)",10011
"527",227730192,"May",4,2021,15:00:00,"BRONX",41,0,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1013070,238703,40.821821427,-73.8958731869999,"POINT (-73.89587318699995 40.82182142700003)",10459
"528",233149851,"September",4,2021,20:18:00,"MANHATTAN",32,0,NA,TRUE,"<18","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER",998593,235938,40.8142676480001,-73.948185286,"POINT (-73.94818528599995 40.814267648000055)",10039
"529",230278934,"June",30,2021,20:22:00,"BRONX",49,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1027440,251415,40.85665355,-73.843871808,"POINT (-73.84387180799997 40.85665355000003)",10461
"530",225285872,"March",7,2021,06:05:00,"BROOKLYN",73,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1010274,183042,40.6690547100001,-73.9061906439999,"POINT (-73.90619064399993 40.66905471000007)",11212
"531",224701998,"February",22,2021,00:18:00,"MANHATTAN",34,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",1005426,254690,40.8657226810001,-73.923440887,"POINT (-73.92344088699997 40.86572268100008)",10034
"532",227127704,"April",19,2021,22:20:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1015150,247218,40.8451856030001,-73.888318817,"POINT (-73.88831881699997 40.84518560300006)",10457
"533",227431725,"April",27,2021,18:15:00,"BRONX",47,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1021249,260648,40.8820234070001,-73.866200939,"POINT (-73.86620093899995 40.88202340700008)",10467
"534",227187021,"April",21,2021,01:45:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1016802,250581,40.854410101,-73.882331632,"POINT (-73.882331632 40.854410101000035)",10458
"535",226230158,"March",28,2021,22:00:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","WHITE",995621,164346,40.617769153,-73.959042986,"POINT (-73.95904298599999 40.61776915300004)",11230
"536",229643180,"June",16,2021,21:34:00,"BROOKLYN",73,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1006621,185426,40.6756082370001,-73.919350987,"POINT (-73.91935098699997 40.67560823700006)",11233
"537",227950661,"May",9,2021,02:50:00,"BRONX",41,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","BLACK HISPANIC",1014642,240068,40.825562694,-73.8901872869999,"POINT (-73.89018728699995 40.82556269400004)",10459
"538",231698073,"August",2,2021,18:34:00,"BRONX",48,0,NA,FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK",1017831,246383,40.8428839860001,-73.8786330039999,"POINT (-73.87863300399994 40.84288398600006)",10460
"539",222861948,"January",9,2021,23:45:00,"BRONX",41,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","F","BLACK",1013619,238885,40.822319157,-73.893888825,"POINT (-73.89388882499998 40.82231915700004)",10459
"540",234268731,"September",29,2021,01:45:00,"BRONX",44,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1006682,243781,40.8357776130001,-73.9189363939999,"POINT (-73.91893639399994 40.83577761300006)",10452
