"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"854",167835443,"August",6,2017,03:40:00,"BRONX",43,0,NA,FALSE,NA,NA,NA,"45-64","F","WHITE HISPANIC",1020183.1875,239282.796875,40.8233867320001,-73.870169773,"POINT (-73.87016977299999 40.823386732000074)",10473
"855",169802077,"September",27,2017,14:11:00,"BRONX",41,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK HISPANIC",1014723.8125,237888.5625,40.819580477,-73.889901575,"POINT (-73.88990157499995 40.819580477000045)",10474
"856",163229754,"March",28,2017,13:30:00,"MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",995652.875,236116.953125,40.8147631080001,-73.958806607,"POINT (-73.95880660699999 40.81476310800008)",10115
"857",169454922,"September",17,2017,02:03:00,"QUEENS",113,0,"PVT HOUSE",TRUE,"25-44","M","BLACK","25-44","F","BLACK HISPANIC",1041943,182656.90625,40.667847989,-73.7920344679999,"POINT (-73.79203446799994 40.66784798900005)",11436
"858",171254276,"November",4,2017,19:47:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"<18","M","BLACK",1016132.9375,178622.984375,40.6569063370001,-73.8850913799999,"POINT (-73.88509137999995 40.656906337000066)",11207
"859",166998585,"July",12,2017,21:30:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","18-24","F","BLACK",1002397.3125,189962.546875,40.6880696920001,-73.934565724,"POINT (-73.93456572399998 40.688069692000056)",11221
"860",168306279,"August",20,2017,02:45:00,"QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",999484,214809.625,40.7562744050001,-73.9450143299999,"POINT (-73.94501432999994 40.756274405000056)",11101
"861",173070861,"December",28,2017,23:16:00,"MANHATTAN",30,0,"STORE UNCLASSIFIED",FALSE,"18-24","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER",997540.8125,239543.421875,40.824165162,-73.951979324,"POINT (-73.95197932399998 40.82416516200004)",10031
"862",163631342,"April",8,2017,02:00:00,"BROOKLYN",83,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1007571.1875,194083.59375,40.699368888,-73.915895469,"POINT (-73.91589546899996 40.699368888000045)",11237
"863",165720216,"June",11,2017,00:10:00,"BROOKLYN",79,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","25-44","M","BLACK",1001262,189244,40.6860996990001,-73.9386612549999,"POINT (-73.93866125499994 40.68609969900007)",11221
"864",159842970,"January",2,2017,03:22:00,"QUEENS",106,0,NA,TRUE,"18-24","M","BLACK","25-44","M","BLACK",1034281.9375,189498.296875,40.6866726320001,-73.8195995629999,"POINT (-73.81959956299994 40.68667263200007)",11419
"865",171509873,"November",11,2017,00:45:00,"BRONX",48,0,NA,TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1013797,248387,40.8483987930001,-73.8932038419999,"POINT (-73.89320384199993 40.84839879300006)",10457
"866",170184282,"October",7,2017,01:40:00,"BROOKLYN",79,0,NA,TRUE,NA,NA,NA,"25-44","F","BLACK",1001329.0625,187143.4375,40.6803340050001,-73.938424772,"POINT (-73.93842477199996 40.68033400500008)",11216
"867",171171092,"November",3,2017,07:42:00,"BRONX",47,0,NA,TRUE,"<18","M","BLACK","18-24","M","BLACK HISPANIC",1021796.75,263196.5625,40.8890160920001,-73.864205812,"POINT (-73.86420581199997 40.88901609200008)",10466
"868",166312844,"June",21,2017,22:55:00,"BROOKLYN",60,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",985518.875,147974.046875,40.572838635,-73.995434012,"POINT (-73.99543401199998 40.57283863500004)",11224
"869",168757911,"September",4,2017,04:50:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1002948.4375,182617.640625,40.6679084400001,-73.932598851,"POINT (-73.93259885099998 40.667908440000076)",11213
"870",166998585,"July",12,2017,21:30:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","25-44","F","BLACK",1002397.3125,189962.546875,40.6880696920001,-73.934565724,"POINT (-73.93456572399998 40.688069692000056)",11221
"871",165146996,"May",25,2017,03:15:00,"BROOKLYN",84,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"45-64","M","BLACK",989332.5625,194229.359375,40.699798249,-73.9816714789999,"POINT (-73.98167147899994 40.699798249000025)",11201
"872",164301441,"April",28,2017,12:29:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1000630.125,197598.203125,40.7090312340001,-73.9409192919999,"POINT (-73.94091929199993 40.709031234000065)",11206
"873",171692494,"November",18,2017,00:45:00,"QUEENS",110,0,NA,TRUE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1018288,211404,40.746874442,-73.8771585979999,"POINT (-73.87715859799994 40.746874442000035)",11373
"874",160296909,"January",15,2017,15:17:00,"BROOKLYN",71,0,NA,FALSE,"25-44","M","WHITE HISPANIC","18-24","M","BLACK",997289.6875,181743.640625,40.6655196460001,-73.9529987349999,"POINT (-73.95299873499994 40.665519646000064)",11225
