"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
196582020,"April",29,2019,01:36:00,"BRONX",44,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1005501,245608,40.840795117,-73.923198516,"POINT (-73.92319851599996 40.84079511700003)",10452,NA
194817573,"March",15,2019,10:19:00,"BROOKLYN",75,0,NA,FALSE,"45-64","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",1012359,181228,40.664069312,-73.8986822479999,"POINT (-73.89868224799994 40.66406931200004)",11207,NA
206311808,"December",10,2019,23:32:00,"STATEN ISLAND",122,0,NA,FALSE,"25-44","F","WHITE","18-24","M","WHITE",953154.875,145282.1875,40.5653955670001,-74.111918604,"POINT (-74.11191860399998 40.56539556700005)",10306,NA
196582021,"April",30,2019,00:13:00,"BROOKLYN",90,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",996318.75,198678.71875,40.7120039230001,-73.95646823,"POINT (-73.95646822999998 40.712003923000054)",11211,NA
191997175,"January",8,2019,00:32:00,"BRONX",42,0,NA,FALSE,"18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1010106,241483,40.8294609060001,-73.906571562,"POINT (-73.90657156199995 40.829460906000065)",10456,NA
204192601,"October",24,2019,21:56:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1008470.5625,251019.703125,40.855640996,-73.912446722,"POINT (-73.91244672199997 40.855640996000034)",10453,NA
197662446,"May",26,2019,20:08:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1015379.125,182115.21875,40.666494426,-73.887792089,"POINT (-73.88779208899996 40.66649442600004)",11207,NA
198858232,"June",23,2019,23:08:00,"BRONX",43,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1019719,243343,40.8345326950001,-73.871825481,"POINT (-73.87182548099997 40.834532695000064)",10472,NA
198255460,"June",7,2019,17:50:00,"BROOKLYN",73,0,NA,FALSE,"45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1009650,186966,40.679827016,-73.9084252389999,"POINT (-73.90842523899994 40.67982701600005)",11233,NA
200331333,"July",27,2019,22:53:00,"BROOKLYN",73,0,NA,FALSE,"18-24","M","BLACK","25-44","F","BLACK",1011786,178738,40.6572366130001,-73.900757798,"POINT (-73.90075779799997 40.657236613000066)",11212,NA
199314079,"July",4,2019,23:22:00,"BRONX",46,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1008934,249674,40.8519461600001,-73.9107764,"POINT (-73.91077639999997 40.85194616000007)",10453,NA
202356982,"September",12,2019,20:20:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1023230.4375,262594.09375,40.8873562900001,-73.859024098,"POINT (-73.85902409799996 40.88735629000007)",10466,NA
197691091,"May",27,2019,18:53:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1021254,181801,40.6656093610001,-73.866617022,"POINT (-73.86661702199996 40.665609361000065)",11208,NA
191951586,"January",6,2019,23:36:00,"BROOKLYN",60,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",986480.8125,148625.859375,40.5746275430001,-73.99197122,"POINT (-73.99197121999998 40.57462754300008)",11224,NA
204294845,"October",26,2019,04:00:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1013751,247662,40.8464090370001,-73.893373298,"POINT (-73.89337329799997 40.84640903700006)",10457,NA
202770947,"September",22,2019,03:40:00,"BRONX",45,0,NA,FALSE,"18-24","M","BLACK","18-24","M","WHITE HISPANIC",1028867.625,236931.765625,40.8168942280001,-73.8388073689999,"POINT (-73.83880736899994 40.81689422800008)",10465,NA
200994120,"August",11,2019,03:40:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","18-24","F","BLACK",1011771.875,185617.296875,40.676118789,-73.9007806239999,"POINT (-73.90078062399994 40.67611878900004)",11207,NA
193938809,"February",22,2019,17:44:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",TRUE,"18-24","M","BLACK","<18","M","BLACK",997702.625,171170.015625,40.6364967260001,-73.951531353,"POINT (-73.95153135299995 40.636496726000075)",11210,NA
200725654,"August",5,2019,01:52:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1004964,183810,40.6711767130001,-73.925329657,"POINT (-73.92532965699996 40.67117671300008)",11213,NA
206703579,"December",19,2019,05:15:00,"MANHATTAN",28,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",996089,231418,40.801865208,-73.9572393179999,"POINT (-73.95723931799995 40.80186520800004)",10026,NA
195303946,"March",28,2019,07:45:00,"QUEENS",108,0,NA,FALSE,"25-44","M","UNKNOWN","45-64","M","BLACK",1004902,211595,40.74744008,-73.925467941,"POINT (-73.92546794099998 40.74744008000005)",11104,NA
