"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
138322612,"August",20,2014,22:37:00,"BROOKLYN",60,0,"MULTI DWELL - APT BUILD",TRUE,NA,NA,NA,"18-24","M","BLACK",987640.75,148923.171875,40.5754432410001,-73.9877956619999,"POINT (-73.98779566199994 40.57544324100007)",11224
138282578,"August",18,2014,19:37:00,"BROOKLYN",73,0,"MULTI DWELL - PUBLIC HOUS",TRUE,"<18","M","BLACK","18-24","M","BLACK",1009904.75,180751.46875,40.66276879,-73.9075304249999,"POINT (-73.90753042499995 40.66276879000003)",11212
137670655,"July",11,2014,00:40:00,"QUEENS",114,0,NA,FALSE,"18-24","M","BLACK HISPANIC","18-24","M","UNKNOWN",1002603.1875,220529.328125,40.771967589,-73.933740012,"POINT (-73.93374001199999 40.77196758900004)",11102
137366592,"June",22,2014,00:05:00,"BRONX",47,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1026507.4375,261478.609375,40.8842795560001,-73.847179501,"POINT (-73.84717950099997 40.88427955600008)",10466
138475841,"August",29,2014,20:50:00,"BRONX",50,2,NA,FALSE,"25-44","M","BLACK","65+","F","WHITE HISPANIC",1009226,257932,40.8746110440001,-73.909690138,"POINT (-73.90969013799997 40.87461104400006)",10463
137371912,"June",22,2014,22:45:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1007685,176108,40.650029642,-73.915547512,"POINT (-73.91554751199999 40.65002964200005)",11236
139859403,"November",27,2014,04:58:00,"BROOKLYN",90,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","BLACK",997688.8125,197266.203125,40.7081249280001,-73.951529095,"POINT (-73.95152909499996 40.708124928000075)",11211
94947264,"February",16,2014,04:00:00,"BRONX",45,0,"BAR/NIGHT CLUB",FALSE,"18-24","M","BLACK","18-24","M","BLACK",1031928.0625,260783.078125,40.8823429230001,-73.827581074,"POINT (-73.82758107399997 40.88234292300007)",10475
137558690,"July",3,2014,16:30:00,"QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","<18","M","BLACK",1003062,221181.46875,40.7737565800001,-73.932081712,"POINT (-73.93208171199996 40.773756580000054)",11102
138477078,"August",30,2014,03:20:00,"BRONX",52,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1011429.4375,253871.078125,40.863458548,-73.9017391529999,"POINT (-73.90173915299994 40.86345854800004)",10468
136687484,"May",10,2014,15:04:00,"QUEENS",113,0,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK",1048464,189361,40.686204257,-73.7684643329999,"POINT (-73.76846433299994 40.68620425700004)",11434
140273186,"December",20,2014,14:48:00,"BROOKLYN",79,0,NA,TRUE,"25-44","M","BLACK","UNKNOWN","M","ASIAN / PACIFIC ISLANDER",999123,192745,40.6957129910001,-73.9463661189999,"POINT (-73.94636611899995 40.69571299100005)",11206
137625068,"July",8,2014,22:52:00,"BROOKLYN",79,0,NA,TRUE,"18-24","M","BLACK","25-44","M","BLACK",999595.875,192267.703125,40.6944021140001,-73.944661915,"POINT (-73.94466191499998 40.69440211400007)",11206
139909804,"December",1,2014,16:24:00,"BRONX",46,0,NA,FALSE,"<18","M","BLACK","45-64","M","BLACK HISPANIC",1009176.8125,249329.359375,40.8509995410001,-73.909899991,"POINT (-73.90989999099997 40.85099954100008)",10453
137516268,"July",1,2014,21:00:00,"BRONX",50,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1009417.625,258118.34375,40.8751219560001,-73.908996537,"POINT (-73.90899653699995 40.875121956000044)",10463
94424905,"January",10,2014,17:25:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","25-44","F","BLACK",1010491.25,249156.5625,40.8505214570001,-73.9051494509999,"POINT (-73.90514945099994 40.85052145700007)",NA
137371869,"June",22,2014,01:05:00,"BRONX",47,0,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK",1023941.5,264414.8125,40.892350413,-73.8564416689999,"POINT (-73.85644166899995 40.89235041300003)",10466
109469978,"April",7,2014,21:31:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1005332.6875,187564.265625,40.6814804530001,-73.923988835,"POINT (-73.92398883499999 40.68148045300006)",11233
138076776,"August",5,2014,21:04:00,"BRONX",46,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK",1009365,249625,40.851810454,-73.909218653,"POINT (-73.90921865299998 40.85181045400003)",10453
136463544,"April",25,2014,14:29:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","<18","M","BLACK",995727.5625,190315.25,40.6890489420001,-73.958614955,"POINT (-73.95861495499997 40.68904894200006)",11238
137354852,"June",21,2014,04:45:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1016328,250445.03125,40.8540386430001,-73.884045707,"POINT (-73.88404570699998 40.85403864300008)",10458
94433712,"January",13,2014,03:53:00,"QUEENS",114,0,"BAR/NIGHT CLUB",FALSE,NA,NA,NA,"25-44","M","WHITE",1006000.5,214684.4375,40.755917169,-73.9214934399999,"POINT (-73.92149343999995 40.75591716900004)",11101
109521344,"April",10,2014,20:56:00,"MANHATTAN",25,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",1000597.875,231061.71875,40.800880121,-73.940954259,"POINT (-73.94095425899997 40.800880121000034)",10035
138429905,"August",27,2014,18:20:00,"BRONX",43,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1018418,242267.640625,40.8315862750001,-73.8765324359999,"POINT (-73.87653243599993 40.83158627500006)",10472
